,interval_date,contact_number,necessary,un_necessary,group,individual,overseas,unknown
0,1,75,1.0,1.0,0,0,1,0
1,4,9,1.0,0.0,0,0,1,0
2,10,27,8.0,5.0,0,1,0,0
3,8,8,5.0,4.0,1,0,0,0
4,1,8,1.0,0.0,0,0,1,0
5,6,1,3.0,7.0,0,0,1,0
6,1,16,1.0,2.0,0,0,0,1
7,1,1,1.0,0.0,1,0,0,0
8,3,22,3.0,5.0,0,1,0,0
9,4,19,4.0,5.0,1,0,0,0
10,1,2,2.0,6.0,1,0,0,0
11,0,9,1.0,2.0,0,1,0,0
12,1,8,1.0,3.0,0,1,0,0
13,1,21,2.0,8.0,1,0,0,0
14,1,25,1.0,1.0,1,0,0,0
15,3,7,5.0,4.0,0,1,0,0
16,2,2,1.0,0.0,1,0,0,0
17,6,11,4.0,7.0,0,0,0,1
18,6,30,6.0,11.0,0,0,0,1
19,2,41,1.0,9.0,0,1,0,0
20,3,27,3.0,4.0,0,1,0,0
21,4,11,3.0,6.0,0,1,0,0
22,5,71,8.0,3.0,0,0,0,1
23,1,3,1.0,0.0,0,1,0,0
24,1,3,1.0,0.0,1,0,0,0
25,0,1,3.0,2.0,0,1,0,0
26,6,5,3.0,7.0,0,0,0,1
27,7,0,9.0,26.0,0,0,0,1
28,0,1,2.0,0.0,0,0,0,1
29,5,1,3.0,12.0,0,0,0,1
30,2,38,3.0,16.0,0,0,0,1
31,6,3,2.0,4.0,1,0,0,0
32,8,13,4.0,22.0,0,0,0,1
33,3,0,3.0,0.0,1,0,0,0
34,2,1,5.0,3.0,0,1,0,0
35,4,2,1.0,0.0,0,1,0,0
36,5,3,2.0,0.0,0,1,0,0
37,5,5,2.0,1.0,1,0,0,0
38,3,1,2.0,0.0,0,1,0,0
39,6,15,9.0,0.0,0,0,0,1
40,6,5,4.0,0.0,0,1,0,0
41,3,0,2.0,0.0,1,0,0,0
42,12,4,4.0,5.0,0,1,0,0
43,1,4,2.0,6.0,0,0,1,0
